MAHOUT_LOCAL is not set; adding HADOOP_CONF_DIR to classpath.
Running on hadoop, using /usr/hdp/2.3.0.0-2525/hadoop/bin/hadoop and HADOOP_CONF_DIR=/usr/hdp/2.3.0.0-2525/hadoop/conf
MAHOUT-JOB: /usr/hdp/2.3.0.0-2525/mahout/mahout-examples-0.9.0.2.3.0.0-2525-job.jar
Input Path: /user/ec2-user/benchmarks/bigbench/temp/q28_hive_POWER_TEST_IN_PROGRESS_0_temp/result/part-m-00000
Key class: class org.apache.hadoop.io.Text Value Class: class org.apache.mahout.math.VectorWritable
Key: NEG: Value: {0:-1489.9735790704815,1:-1507.4091986140747,2:-1451.7784709646778}
Key: POS: Value: {0:-17725.689684148863,1:-18043.94756224199,2:-17561.073659408034}
Key: POS: Value: {0:-1463.7171585461283,1:-1489.8746032502795,2:-1417.4465670580962}
Key: POS: Value: {0:-1191.2802994957829,1:-1142.33573344074,2:-1135.6037786107063}
Key: POS: Value: {0:-919.4327015136594,1:-944.0334031928353,2:-891.2312337517685}
Key: POS: Value: {0:-5197.574211425194,1:-5198.081583707483,2:-5084.590063426068}
Key: POS: Value: {0:-4522.538364753183,1:-4488.101485654165,2:-4411.321587324894}
Key: POS: Value: {0:-3330.3851803198513,1:-3330.427853968711,2:-3205.579964741}
Key: POS: Value: {0:-4740.077355927519,1:-4796.7375466429485,2:-4656.850967106729}
Key: POS: Value: {0:-1799.3529230419224,1:-1823.082140175615,2:-1775.8089330037635}
Key: POS: Value: {0:-1946.2735414806125,1:-1984.0122990916752,2:-1896.731003357984}
Key: POS: Value: {0:-1315.6315753922308,1:-1311.9751518380258,2:-1270.3106279301412}
Key: POS: Value: {0:-388.9995931880506,1:-402.96395463513244,2:-368.21941528161847}
Key: POS: Value: {0:-616.0761711395252,1:-664.0092924141595,2:-603.7655578844897}
Key: POS: Value: {0:-1595.8778097680183,1:-1596.7559591983695,2:-1521.2171287568947}
Key: POS: Value: {0:-2513.1904103841857,1:-2542.611416968769,2:-2499.732429900529}
Key: POS: Value: {0:-1250.358426548448,1:-1214.4645932697597,2:-1222.875782689608}
Key: POS: Value: {0:-6870.65443606745,1:-7044.774278651472,2:-6675.179745343283}
Key: POS: Value: {0:-9053.58074171694,1:-9133.463886289475,2:-8881.102510038623}
Key: POS: Value: {0:-7164.493479970201,1:-7116.125242344257,2:-6896.755131956738}
Key: POS: Value: {0:-10180.298002949656,1:-10248.068726089161,2:-9980.559905804219}
Key: POS: Value: {0:-4555.747211903415,1:-4620.056706206487,2:-4506.628339073067}
Key: POS: Value: {0:-4407.200540934969,1:-4374.404893480968,2:-4281.7331949050185}
Key: POS: Value: {0:-20486.51312796875,1:-20701.521002813988,2:-20091.517309161904}
Key: POS: Value: {0:-858.7792938325821,1:-851.2054977854393,2:-844.1021719431878}
Key: POS: Value: {0:-5723.020440696867,1:-5786.449493216076,2:-5571.0496579119435}
Key: POS: Value: {0:-9959.978320181817,1:-10037.087407348028,2:-9658.454343609299}
Key: POS: Value: {0:-2244.5381856124754,1:-2253.3858065253053,2:-2160.6854026775036}
Key: POS: Value: {0:-26526.856624486016,1:-26846.10984596625,2:-26058.365896591484}
Key: POS: Value: {0:-5240.998766443024,1:-5259.544608293502,2:-5065.842891382098}
Key: POS: Value: {0:-20453.183653294753,1:-20497.294266879417,2:-19929.86341028631}
Key: POS: Value: {0:-8953.617383954934,1:-9010.74717987629,2:-8861.053855924649}
Key: POS: Value: {0:-6358.155631019605,1:-6425.846769237794,2:-6281.540997401085}
Key: POS: Value: {0:-11482.683006330037,1:-11418.494452666753,2:-11184.197529278816}
Key: POS: Value: {0:-2581.1118410117506,1:-2606.7528280750003,2:-2557.4637280001584}
Key: POS: Value: {0:-1673.0410399983318,1:-1646.9570500653683,2:-1649.0018721566248}
Key: POS: Value: {0:-7094.3885792886595,1:-7029.992386257122,2:-6784.6367677289545}
Key: POS: Value: {0:-2820.668509948393,1:-2853.832219245886,2:-2803.860775123451}
Key: POS: Value: {0:-8224.70753960318,1:-8289.928825346127,2:-8072.7190983177825}
Key: POS: Value: {0:-341.8281662521266,1:-336.9490283703462,2:-335.4988172818363}
Key: POS: Value: {0:-10557.561373097164,1:-10666.433356158514,2:-10364.229908222405}
Key: POS: Value: {0:-10347.317692737479,1:-10479.803073141444,2:-10089.659682986106}
Key: POS: Value: {0:-1026.7753377803817,1:-1067.89047264267,2:-1024.4941823309932}
Key: POS: Value: {0:-1322.3870554389491,1:-1307.7200069128326,2:-1309.0085945763446}
Key: POS: Value: {0:-360.02115850578076,1:-341.7933786085439,2:-358.091111968162}
Key: POS: Value: {0:-2542.066428109226,1:-2516.9733848236265,2:-2478.904149431804}
Key: POS: Value: {0:-5700.940698738094,1:-5658.589822098506,2:-5535.017490840482}
Key: POS: Value: {0:-3301.955371443976,1:-3389.3465623945103,2:-3240.842822278193}
Key: POS: Value: {0:-2480.7326963610744,1:-2500.3425744081283,2:-2440.3259742279356}
Key: POS: Value: {0:-2140.9931055717725,1:-2142.16582169577,2:-2070.6538306852494}
Key: POS: Value: {0:-5206.463706772342,1:-5326.960548453598,2:-5063.940129003374}
Key: POS: Value: {0:-3771.3283958066704,1:-3695.6869598009357,2:-3635.127930879115}
Key: POS: Value: {0:-8030.75681446456,1:-7944.5177108796,2:-7789.443175438643}
Key: POS: Value: {0:-6971.643642745187,1:-7054.678842508377,2:-6849.85901722143}
Key: POS: Value: {0:-2806.799892669943,1:-2774.9785427216125,2:-2701.899978330608}
Key: POS: Value: {0:-2562.9626818833417,1:-2625.79797321692,2:-2528.596778734208}
Key: POS: Value: {0:-4575.73712228627,1:-4802.733918493246,2:-4578.452947325997}
Key: POS: Value: {0:-2606.375367930351,1:-2544.858399480214,2:-2563.03335991449}
Key: POS: Value: {0:-510.205362321729,1:-530.1442798761105,2:-507.3200469198449}
Key: POS: Value: {0:-810.5791970709153,1:-817.552290662555,2:-800.7100603126119}
Key: POS: Value: {0:-5307.329195529164,1:-5330.0141621022885,2:-5174.661550259888}
Key: POS: Value: {0:-5200.479524445594,1:-5117.8603061050635,2:-4926.7872111013385}
Key: POS: Value: {0:-6801.054604766104,1:-6718.664294081459,2:-6551.520965844736}
Key: POS: Value: {0:-1977.091534141376,1:-1952.9632836250337,2:-1872.904490623466}
Key: POS: Value: {0:-293.74519571742866,1:-284.1044274917183,2:-269.4725449483864}
Key: POS: Value: {0:-2493.184387771502,1:-2588.9987959544915,2:-2455.585467186799}
Key: POS: Value: {0:-727.1133410358111,1:-746.7390331122791,2:-719.8580371287875}
Key: POS: Value: {0:-1925.5959536301323,1:-1887.1482370982778,2:-1829.1487378157055}
Key: POS: Value: {0:-309.35083314520057,1:-288.22553710101147,2:-284.915284499363}
Key: POS: Value: {0:-176.65982950914372,1:-173.68641901469908,2:-160.60243720215306}
Key: POS: Value: {0:-3039.5181874772065,1:-3111.4981699121863,2:-3028.8937251300936}
Key: POS: Value: {0:-2745.843850436033,1:-2757.0340156658203,2:-2677.3478537504693}
Key: POS: Value: {0:-680.7832635909108,1:-675.2938381474734,2:-654.7846472443964}
Key: POS: Value: {0:-5087.903733156583,1:-5064.573536836177,2:-4914.736947144617}
Key: POS: Value: {0:-4842.916845377331,1:-4996.482045002667,2:-4809.823824216959}
Key: POS: Value: {0:-4004.8699536150675,1:-4114.183060065653,2:-3949.260065000949}
Key: POS: Value: {0:-762.7613304186269,1:-802.0457921696241,2:-766.1066507709993}
Key: POS: Value: {0:-520.7755952399699,1:-562.34039511439,2:-526.3923705618688}
Key: POS: Value: {0:-1659.2064600022106,1:-1751.977156013874,2:-1661.93037776042}
Key: POS: Value: {0:-1949.4373636061337,1:-2031.965069646707,2:-1959.2001249066461}
Key: POS: Value: {0:-353.3247833662847,1:-361.95932275086693,2:-360.06581085063993}
Key: POS: Value: {0:-637.6994722788286,1:-640.5106863423626,2:-619.1422784426983}
Key: POS: Value: {0:-7472.038622295331,1:-7527.226699887614,2:-7300.696578442909}
Key: POS: Value: {0:-6224.227281601258,1:-6360.179122866553,2:-6092.96568881851}
Key: POS: Value: {0:-897.2068492946731,1:-895.1523238826312,2:-899.8513676358873}
Key: POS: Value: {0:-4137.550954526416,1:-4198.595801415537,2:-4037.758372043494}
Key: POS: Value: {0:-987.521534537492,1:-1034.424167570267,2:-967.3154498878135}
Key: POS: Value: {0:-5081.176786821938,1:-5179.865363413848,2:-5019.2582328379685}
Key: POS: Value: {0:-3300.885524924657,1:-3298.217397310172,2:-3229.6034867826525}
Key: POS: Value: {0:-1705.627402224954,1:-1757.0789470660343,2:-1707.53101447059}
Key: POS: Value: {0:-1780.1396316298963,1:-1752.1520306844363,2:-1722.8146710168448}
Key: POS: Value: {0:-6146.526222881255,1:-6149.947193344448,2:-5977.6792195105145}
Key: POS: Value: {0:-7200.37435790369,1:-7342.89264798275,2:-7001.470984558302}
Key: POS: Value: {0:-1336.0071045160112,1:-1381.4427077470934,2:-1347.5460120510932}
Key: POS: Value: {0:-8149.297772644308,1:-8123.22840750969,2:-7990.439991155335}
Key: POS: Value: {0:-2009.7881642140167,1:-2069.5077109736562,2:-1983.1319560096172}
Key: POS: Value: {0:-1766.1151399148655,1:-1670.6480339667764,2:-1675.1017033294363}
Key: POS: Value: {0:-9392.337711820337,1:-9288.370764436608,2:-9055.392129135527}
Key: POS: Value: {0:-119.51511756318766,1:-116.7613275726652,2:-120.56990442740765}
Key: POS: Value: {0:-638.553120552476,1:-638.0108466477816,2:-616.1641049234273}
Key: POS: Value: {0:-6992.355571785558,1:-7037.38992781559,2:-6791.682999307733}
Key: POS: Value: {0:-2447.624148760613,1:-2454.299179840914,2:-2356.5773393203117}
Key: POS: Value: {0:-567.0555417430747,1:-623.6608669122234,2:-575.8929287220735}
Key: POS: Value: {0:-2215.5372054696863,1:-2245.180215423676,2:-2184.3487100539223}
Key: POS: Value: {0:-557.6654074696113,1:-604.1124638195399,2:-568.7898557740934}
Key: POS: Value: {0:-2508.562910544189,1:-2359.9732077058466,2:-2357.00945412578}
Key: POS: Value: {0:-1289.0003766700142,1:-1268.6841024419423,2:-1238.767978812173}
Key: POS: Value: {0:-406.0322349685007,1:-401.57211524727103,2:-398.9843763232549}
Key: POS: Value: {0:-5439.386608511364,1:-5420.6766584301,2:-5295.472008188628}
Key: POS: Value: {0:-922.1257825260499,1:-946.3328461274558,2:-899.7951231928674}
Key: POS: Value: {0:-3444.6005051971238,1:-3486.7222766641557,2:-3442.4181651898584}
Key: POS: Value: {0:-1627.4587162988846,1:-1643.7298158725976,2:-1608.2142583190084}
Key: POS: Value: {0:-711.4922888850625,1:-741.5415254405709,2:-707.2683534643149}
Key: POS: Value: {0:-7761.612236812633,1:-7948.200632157945,2:-7659.898100274828}
Key: POS: Value: {0:-4134.031164365401,1:-4149.671796044055,2:-4014.4097567179997}
Key: POS: Value: {0:-2743.2855103895427,1:-2782.3786719810278,2:-2716.386275173975}
Key: POS: Value: {0:-4032.073612930514,1:-4046.130503381679,2:-3990.61052576791}
Key: POS: Value: {0:-17359.025923201058,1:-17343.79391294342,2:-16898.50878069816}
Key: POS: Value: {0:-9183.052983497362,1:-9358.081216219727,2:-8982.34263033183}
Key: POS: Value: {0:-1725.1574529929994,1:-1733.9192077342705,2:-1693.3810898609613}
Key: POS: Value: {0:-1425.4838352333122,1:-1406.1476173486658,2:-1391.4171850455734}
Key: POS: Value: {0:-1756.766123296377,1:-1782.4497160409394,2:-1730.1454361142828}
Key: POS: Value: {0:-6915.613435382058,1:-6808.163217816975,2:-6648.991126663703}
Key: POS: Value: {0:-3870.7025391652382,1:-3835.6219076719744,2:-3708.758055792858}
Key: POS: Value: {0:-2977.668217041702,1:-3004.79455670149,2:-2916.7572066337134}
Key: POS: Value: {0:-1211.426262988756,1:-1267.1435721928021,2:-1187.9228888125829}
Key: POS: Value: {0:-769.5155722752565,1:-730.2802607203557,2:-718.5672821989466}
Key: POS: Value: {0:-286.6491195569266,1:-294.6723309312313,2:-268.6611476354378}
Key: POS: Value: {0:-170.03412872475457,1:-151.7860789131531,2:-160.1793480191274}
Key: POS: Value: {0:-5622.089899568066,1:-5701.587945876276,2:-5534.224027693987}
Key: POS: Value: {0:-1156.4009005714756,1:-1182.993446239204,2:-1136.8297717571108}
Key: POS: Value: {0:-3200.3163645261247,1:-3151.0610173005016,2:-3125.3914269122365}
Key: POS: Value: {0:-3219.651495025122,1:-3169.6880705464314,2:-3110.8653334082237}
Key: POS: Value: {0:-10886.552492893383,1:-10873.161905826808,2:-10636.71539562857}
Key: POS: Value: {0:-2748.691665371583,1:-2757.599543335301,2:-2718.3455477183156}
Key: POS: Value: {0:-2675.1377877686714,1:-2642.9548455220843,2:-2596.6057186843714}
Key: POS: Value: {0:-20163.53766889785,1:-20141.989085483438,2:-19664.38942726077}
Key: POS: Value: {0:-6030.50641667748,1:-5984.851421451363,2:-5859.902218955085}
Key: POS: Value: {0:-4536.244291845365,1:-4453.332820729782,2:-4448.164879539061}
Key: POS: Value: {0:-2002.2620889245609,1:-2006.301871284591,2:-1935.3159644298419}
Key: POS: Value: {0:-3490.7085032949058,1:-3612.770742972572,2:-3529.755473796502}
Key: POS: Value: {0:-3111.587557311595,1:-3065.9746320737936,2:-3036.9965781418514}
Key: POS: Value: {0:-588.6062774688652,1:-606.8980756976861,2:-595.9016141280592}
Key: POS: Value: {0:-1790.2053772526447,1:-1801.9299321747255,2:-1740.647815514859}
Key: POS: Value: {0:-725.733938499363,1:-756.2431774467689,2:-704.1614326636937}
Key: POS: Value: {0:-7286.285437914813,1:-7365.518410958662,2:-7087.287701809707}
Key: POS: Value: {0:-1216.4274827276395,1:-1221.2218074759319,2:-1201.498673956082}
Key: POS: Value: {0:-1943.6105961989037,1:-2094.221360712729,2:-1935.7368602909798}
Key: POS: Value: {0:-8878.497557822171,1:-8884.48441928289,2:-8765.359531779526}
Key: POS: Value: {0:-1498.6358727348836,1:-1500.2395205410876,2:-1461.0282354252754}
Key: POS: Value: {0:-6760.101938630488,1:-6892.970980277207,2:-6683.427930302019}
Key: POS: Value: {0:-865.5748311466108,1:-910.1424222277203,2:-888.8609704516101}
Key: POS: Value: {0:-1337.8464521836568,1:-1340.5985590707073,2:-1331.443974952903}
Key: POS: Value: {0:-5068.663830036856,1:-5114.4737644786,2:-4916.868004809092}
Key: POS: Value: {0:-223.99907729975558,1:-256.58213773020344,2:-231.0970246709045}
Key: POS: Value: {0:-9526.639728650716,1:-9763.380865928326,2:-9399.632021377209}
Key: POS: Value: {0:-1420.9768100004871,1:-1433.237611890383,2:-1403.3463617882476}
Key: POS: Value: {0:-9319.66559593113,1:-9524.609736764942,2:-9263.503116808211}
Key: POS: Value: {0:-2664.029848320402,1:-2688.5619942381795,2:-2586.05126416107}
Key: POS: Value: {0:-8309.546636156276,1:-8434.437181562846,2:-8065.673750317196}
Key: POS: Value: {0:-8857.657067888986,1:-8909.697914802138,2:-8636.434134853727}
Key: POS: Value: {0:-499.50561064371027,1:-470.4653476355687,2:-470.5446458653213}
Key: POS: Value: {0:-384.2673560199786,1:-387.01313828714694,2:-419.8548192929324}
Key: POS: Value: {0:-1174.892344885992,1:-1147.3105336566814,2:-1113.3720522444564}
Key: POS: Value: {0:-2832.287317979312,1:-2839.9143369366625,2:-2786.054630869346}
Key: POS: Value: {0:-1827.6422988862043,1:-1821.9446709964031,2:-1832.6159251965316}
Key: POS: Value: {0:-8439.328158857194,1:-8537.690920766187,2:-8280.826982893539}
Key: POS: Value: {0:-1057.2847078087273,1:-1090.5368621673483,2:-1066.0616841317185}
Key: POS: Value: {0:-18034.259174758787,1:-18196.770027089453,2:-17519.70879756192}
Key: POS: Value: {0:-869.018284788864,1:-923.0711968031915,2:-880.7991680372622}
Key: POS: Value: {0:-961.7688278401562,1:-992.8797975388181,2:-962.8325772679318}
Key: POS: Value: {0:-181.4163464805079,1:-185.03886978460406,2:-170.22872945135327}
Key: POS: Value: {0:-432.22229632576017,1:-442.18149267131247,2:-438.0651708731075}
Key: POS: Value: {0:-867.5030123295736,1:-827.5982593990669,2:-813.1294963599523}
Key: POS: Value: {0:-4064.2508817178755,1:-4123.95934029325,2:-4043.3114482168526}
Key: POS: Value: {0:-2414.2078461759943,1:-2455.492671250004,2:-2358.840862216089}
Key: POS: Value: {0:-14004.299928182252,1:-14161.219321800552,2:-13754.453052692075}
Key: POS: Value: {0:-1910.1299882042517,1:-1875.9991833580439,2:-1858.0045099454935}
Key: POS: Value: {0:-6092.266274793084,1:-5984.311605819043,2:-5828.490652000173}
Key: POS: Value: {0:-1394.8906052400657,1:-1350.704478327476,2:-1325.3619175543884}
Key: POS: Value: {0:-505.7400330012432,1:-525.9877941271562,2:-504.0077468252552}
Key: POS: Value: {0:-7286.8257332132325,1:-7318.704132770669,2:-7071.3067609662885}
Key: POS: Value: {0:-3409.6807441970664,1:-3424.370112576861,2:-3342.2705349315947}
Key: POS: Value: {0:-12244.929373748311,1:-12190.398368460013,2:-11857.710467617379}
Key: POS: Value: {0:-1637.3714536063096,1:-1736.45310591548,2:-1646.0579518518566}
Key: POS: Value: {0:-5078.339156556658,1:-5080.421273778314,2:-4952.6290744184425}
Key: POS: Value: {0:-2709.067622861215,1:-2742.277597167784,2:-2677.4753137600787}
Key: POS: Value: {0:-443.35968162303203,1:-447.3806127040034,2:-431.1868773968616}
Key: POS: Value: {0:-540.7427903256238,1:-547.4169683971886,2:-539.5273079891126}
Key: POS: Value: {0:-5799.972026205741,1:-5993.352947231392,2:-5741.9124868317085}
Key: POS: Value: {0:-4643.490019404622,1:-4705.871391511537,2:-4645.182407485441}
Key: POS: Value: {0:-2125.7692224130637,1:-2160.7004366475844,2:-2103.2462811749174}
Key: POS: Value: {0:-2083.944912258961,1:-2128.8925510401714,2:-2038.5400686136556}
Key: POS: Value: {0:-1776.6394375105397,1:-1762.0661117932118,2:-1764.8099519142288}
Key: POS: Value: {0:-1377.4632470614815,1:-1435.089162777946,2:-1359.6344537183058}
Key: POS: Value: {0:-11840.744350648078,1:-11798.150827167017,2:-11445.335391905328}
Key: POS: Value: {0:-2798.3083896295125,1:-2862.7550341837764,2:-2768.841867384791}
Key: POS: Value: {0:-1135.1773551077988,1:-1169.6767998231558,2:-1127.7230603288654}
Key: POS: Value: {0:-1341.8994932080905,1:-1318.3076161968506,2:-1289.6443425210055}
Key: POS: Value: {0:-634.6417069324986,1:-633.8740916835214,2:-626.4400588724427}
Key: POS: Value: {0:-2004.2302614624086,1:-2009.2395714758943,2:-1949.7150754430045}
Key: POS: Value: {0:-8084.782316988496,1:-7966.378384356145,2:-7839.336467327821}
Key: POS: Value: {0:-1427.332010960158,1:-1423.2726461314487,2:-1410.4607035416223}
Key: POS: Value: {0:-6496.118058194284,1:-6557.225828086909,2:-6386.9183179591855}
Key: POS: Value: {0:-2726.4036663295333,1:-2759.7581449837007,2:-2650.881582083177}
Key: POS: Value: {0:-2074.1794930673987,1:-2148.3909352796345,2:-2048.3915499027607}
Key: POS: Value: {0:-4032.537891465107,1:-4099.9236141969595,2:-3951.5574655034966}
Key: POS: Value: {0:-281.4740879091367,1:-280.3602952745949,2:-259.3534871140673}
Key: POS: Value: {0:-914.2638933252144,1:-948.2630143793999,2:-885.7596749947395}
Key: POS: Value: {0:-3053.821108079786,1:-3057.3072090576825,2:-2966.8904174320924}
Key: POS: Value: {0:-3740.963534843272,1:-3759.3280062748313,2:-3682.862956984118}
Key: POS: Value: {0:-3414.8202371762786,1:-3477.3696828533407,2:-3372.7869578072964}
Key: POS: Value: {0:-9059.814907297463,1:-9070.768502238481,2:-8864.227778386787}
Key: POS: Value: {0:-1808.5969990395326,1:-1823.0593068921905,2:-1766.7331329449069}
Key: POS: Value: {0:-1079.6148317303057,1:-1085.3352501633262,2:-1024.52441535265}
Key: POS: Value: {0:-567.9375853945791,1:-570.6476687329838,2:-567.035550084557}
Key: POS: Value: {0:-1276.062601288285,1:-1264.7471434825889,2:-1272.676635445599}
Key: POS: Value: {0:-6158.5957258861345,1:-6125.179614239307,2:-5967.727573694485}
Key: POS: Value: {0:-1479.5071475111886,1:-1477.0361137164064,2:-1414.1698270788654}
Key: POS: Value: {0:-986.7340356297628,1:-974.711017693821,2:-962.3822952378353}
Key: POS: Value: {0:-6886.912799567978,1:-6916.120521475031,2:-6737.777738771487}
Key: POS: Value: {0:-1126.0384866869094,1:-1080.1689329504854,2:-1077.3590572986518}
Key: POS: Value: {0:-7660.291785556622,1:-7821.898643719143,2:-7619.645553622132}
Key: POS: Value: {0:-244.49224305488895,1:-265.5515449880621,2:-261.9709735052433}
Key: POS: Value: {0:-9339.237926181228,1:-9266.113203077191,2:-9148.228774409085}
Key: POS: Value: {0:-5023.973711387616,1:-4958.9902336519435,2:-4830.065773187545}
Key: POS: Value: {0:-5879.237629671315,1:-5978.543070639252,2:-5835.068078961246}
Key: POS: Value: {0:-3178.4759242192363,1:-3285.5760069029,2:-3135.2663818295578}
Key: POS: Value: {0:-838.6964597830063,1:-834.5211363430647,2:-831.8749795372496}
Key: POS: Value: {0:-9585.103310050847,1:-9720.921795389666,2:-9493.158801955045}
Key: POS: Value: {0:-7433.494672586337,1:-7506.73817142378,2:-7291.1921125676645}
Key: POS: Value: {0:-15876.16869196495,1:-15882.326711409203,2:-15623.686901668576}
Key: POS: Value: {0:-847.5375923467031,1:-845.3684103324257,2:-806.6591427289742}
Key: POS: Value: {0:-5473.129000310096,1:-5610.237450568955,2:-5460.384928033608}
Key: POS: Value: {0:-377.035645658235,1:-361.9959588265798,2:-359.264038572491}
Key: POS: Value: {0:-3845.3328376770837,1:-3793.0851187975427,2:-3721.276708582522}
Key: POS: Value: {0:-3260.928263752413,1:-3236.766287547795,2:-3140.343901262559}
Key: POS: Value: {0:-2683.339317304118,1:-2775.0306237204786,2:-2648.1165461709243}
Key: POS: Value: {0:-1698.7691303553688,1:-1684.297533042716,2:-1666.9785612225674}
Key: POS: Value: {0:-16710.219885113085,1:-16765.81322582386,2:-16429.633692953692}
Key: POS: Value: {0:-3267.1855343350985,1:-3317.1595681656436,2:-3181.842216312819}
Key: POS: Value: {0:-2488.0795068768816,1:-2511.6613496552163,2:-2478.3396263989234}
Key: POS: Value: {0:-3727.81709655415,1:-3852.7153068473185,2:-3716.552311598544}
Key: POS: Value: {0:-5041.294417549877,1:-5152.944604444633,2:-5024.179295678411}
Key: POS: Value: {0:-3142.4790454181034,1:-3122.696879168316,2:-3055.1766907858696}
Key: POS: Value: {0:-950.3687650669984,1:-937.4951084035008,2:-921.3816515577139}
Key: POS: Value: {0:-3759.4613623266987,1:-3813.885047370133,2:-3721.2741992307742}
Key: POS: Value: {0:-2717.899434706696,1:-2691.8107864872354,2:-2629.5201424448082}
Key: POS: Value: {0:-1471.6056341623457,1:-1528.2396264850424,2:-1474.2062095129354}
Key: POS: Value: {0:-7508.659389903044,1:-7558.479577399561,2:-7358.736868481999}
Key: POS: Value: {0:-7178.433809248914,1:-7257.300904792089,2:-7029.903872049228}
Key: POS: Value: {0:-3030.798969815344,1:-3067.087960052351,2:-3021.1273313221614}
Key: POS: Value: {0:-1972.0500417751587,1:-1910.5436731984494,2:-1878.0340461342794}
Key: POS: Value: {0:-2028.3765676904704,1:-2007.3935569497387,2:-1958.3284009825402}
Key: POS: Value: {0:-2303.9045028538694,1:-2293.3304987287456,2:-2249.2850533934757}
Key: POS: Value: {0:-2819.6324714826596,1:-2859.2030249009827,2:-2721.4730338498202}
Key: POS: Value: {0:-2152.84200732696,1:-2200.4575648293285,2:-2161.240811574057}
Key: POS: Value: {0:-2689.8522109804303,1:-2716.875564751453,2:-2651.4543947459583}
Key: POS: Value: {0:-574.2817688513617,1:-572.9465055871077,2:-580.7111441111391}
Key: POS: Value: {0:-1966.9340229459663,1:-2016.013167391565,2:-1904.6983578659188}
Key: POS: Value: {0:-3463.567860187329,1:-3514.2709909772157,2:-3399.914868360633}
Key: POS: Value: {0:-6448.866430412052,1:-6394.712925967739,2:-6342.046622022149}
Key: POS: Value: {0:-9716.894832020162,1:-9828.312596600157,2:-9569.2786554781}
Key: POS: Value: {0:-2741.7862360630543,1:-2767.3133655096453,2:-2675.0744436012924}
Key: POS: Value: {0:-2215.205108514636,1:-2294.057550662713,2:-2224.166153151578}
Key: POS: Value: {0:-7074.925929060066,1:-7150.817217775118,2:-6941.663235130685}
Key: POS: Value: {0:-14854.654119691191,1:-14847.468053986695,2:-14544.153261803132}
Key: POS: Value: {0:-9283.285269219748,1:-9328.494044158586,2:-9086.768371279657}
Key: POS: Value: {0:-231.92548742687705,1:-232.92178729801233,2:-226.85935209290864}
Key: POS: Value: {0:-3294.52636077526,1:-3428.1575871252285,2:-3275.521831214878}
Key: POS: Value: {0:-10362.022745695269,1:-10433.636402335882,2:-10133.154665741951}
Key: POS: Value: {0:-448.75392743826603,1:-460.83456151009244,2:-457.092245337911}
Key: POS: Value: {0:-5505.515407914635,1:-5691.405521876237,2:-5421.627464417767}
Key: POS: Value: {0:-6795.020092090696,1:-6847.148997174841,2:-6562.991084084114}
Key: POS: Value: {0:-669.9641072996992,1:-662.1350341929842,2:-643.1145768342645}
Key: POS: Value: {0:-3261.1937051335995,1:-3344.115834728794,2:-3226.190193857212}
Key: POS: Value: {0:-7976.883413860319,1:-8142.3728084195145,2:-7969.997675500855}
Key: POS: Value: {0:-10922.639198473778,1:-11022.05057135476,2:-10660.037738188692}
Key: POS: Value: {0:-83.776685622694,1:-81.91987095984157,2:-85.65672170791429}
Key: POS: Value: {0:-6321.8831281526245,1:-6437.933126802698,2:-6197.683669270264}
Key: POS: Value: {0:-1202.91931360652,1:-1270.3245377093422,2:-1197.8846941690133}
Key: POS: Value: {0:-2058.209694114561,1:-2087.458996542719,2:-2053.821798286939}
Key: POS: Value: {0:-957.2478301290278,1:-970.6632709496166,2:-908.795811815267}
Key: POS: Value: {0:-4376.1251713540405,1:-4437.0710161012985,2:-4289.099857724327}
Key: POS: Value: {0:-1551.6194657954757,1:-1553.8933383750962,2:-1494.0067867435257}
Key: POS: Value: {0:-8595.520427325711,1:-8576.709168073074,2:-8402.85949935829}
Key: POS: Value: {0:-4214.1100685183765,1:-4246.321424996036,2:-4096.769956289523}
Key: POS: Value: {0:-1504.049317482787,1:-1541.7201503840754,2:-1485.954768220479}
Key: POS: Value: {0:-1791.9930056144467,1:-1861.4189317248158,2:-1778.891224197165}
Key: POS: Value: {0:-3659.9467305842195,1:-3629.7902189898937,2:-3545.8437287468673}
Key: POS: Value: {0:-4218.869733722652,1:-4294.304465724402,2:-4193.705675123079}
Key: POS: Value: {0:-4603.379859732918,1:-4639.099646835427,2:-4525.431262428291}
Key: POS: Value: {0:-2623.467193480254,1:-2631.105210046076,2:-2516.4558146538934}
Key: POS: Value: {0:-3094.574050023667,1:-3212.8635253737016,2:-3055.9243578137807}
Key: POS: Value: {0:-448.75392743826603,1:-460.83456151009244,2:-457.092245337911}
Key: POS: Value: {0:-2386.6664275611474,1:-2355.0714298127523,2:-2341.5988240350002}
Key: POS: Value: {0:-3639.3795902568468,1:-3714.383731881829,2:-3578.7232750324442}
Key: POS: Value: {0:-6109.8322941562965,1:-6180.779680718014,2:-5991.6571988249025}
Key: POS: Value: {0:-4765.16008878123,1:-4755.0015966873025,2:-4678.233033555586}
Key: POS: Value: {0:-5293.097970364516,1:-5308.605343674296,2:-5200.168659262557}
Key: POS: Value: {0:-1200.282474225336,1:-1271.5643783949183,2:-1204.8054090287667}
Key: POS: Value: {0:-2453.6248565694723,1:-2515.856821186625,2:-2459.878527284968}
Key: POS: Value: {0:-7612.60672070637,1:-7818.728819304635,2:-7455.969038413394}
Key: POS: Value: {0:-1958.73635474735,1:-1984.1850950814296,2:-1868.892739951767}
Key: POS: Value: {0:-6858.735745811742,1:-6794.692832008974,2:-6710.957674781512}
